poi_type,Cut_off,Effect_size,Effect_size_abs,Effect_size_abs_std,Effect_size_std,Effect_var,Effect_size_percentage,iteration
Restaurant,0.31504239202528833,-0.0033607879049512984,0.0072625003094447796,0.03291874656629685,0.03354240436967361,0.3173024103082054,-174.96130358726074,260
Store,0.32116640947801706,0.0019208749798066797,0.007409881622703063,0.03770702394999599,0.038380154248517505,0.3279910482474061,100.0,260
Education,0.5986878783281656,-0.008441592830057349,0.07076529454168627,0.15272502215651995,0.16811126914865834,0.4300907808528078,-439.46602037093146,260
Public Transportation,0.3653798998487194,1.6084966690454546e-05,0.00832263522038051,0.039808928462077876,0.04066960515648263,0.3617094011255324,0.8373770734456318,260
Restaurant,0.3134471711650193,-0.0032902663446515595,0.007150216162673336,0.03269960984094633,0.033310121919685645,0.3149470703865102,-168.12619232588818,270
Store,0.32023737605802755,0.0019570218650249668,0.007311288450452129,0.037460921674878675,0.038117524276334164,0.32566195145455057,100.0,270
Education,0.600912123516722,-0.008661726388281702,0.07189691404344227,0.1546254051462854,0.17030313168464514,0.43240479811918886,-442.59732316129225,270
Public Transportation,0.36508513218688,2.099922525517376e-05,0.008346896819087268,0.039908252411297966,0.040771789954144745,0.3606767031492544,1.073019450138124,270
Restaurant,0.31190580098791937,-0.003226784126994601,0.007039347398187782,0.03248895216240849,0.0330858321431004,0.3126753267733009,-162.15149991217615,280
Store,0.31935358801997704,0.0019899810539787044,0.007214175509673737,0.03724138297472459,0.0378814586514206,0.32339338311541577,100.0,280
Education,0.6022090021730848,-0.008836893962372491,0.07278258480806472,0.1562320158378356,0.17212686231147836,0.4345594598161301,-444.0692510466011,280
Public Transportation,0.36475014940987943,2.6764858339289205e-05,0.008365607089718978,0.04001182202032215,0.040876993125814075,0.3596782084103147,1.3449805607835514,280
Restaurant,0.3104306439710976,-0.0031663879481075223,0.006934394845270582,0.032282227912049405,0.03286642752411184,0.3104822428003055,-205.83360824420302,290
Store,0.3183907942858189,0.001538324074050574,0.006650692939932637,0.034100159348383105,0.03470858889683627,0.32118086423303127,100.0,290
Education,0.6032848985614554,-0.008988917452663734,0.07356073722080964,0.15765188175193773,0.17373686207430236,0.4366114138772446,-584.3318455645656,290
Public Transportation,0.36437697881006154,3.253995178926764e-05,0.008379426962720187,0.040120009589807736,0.040985715888115996,0.358712268255612,2.1152858710444815,290
Restaurant,0.3090333134715097,-0.0031048882429045156,0.006833778390822598,0.032086319175791446,0.03265872126009695,0.3083628873157485,-202.37157306640162,300
Store,0.3174267776276244,0.0015342511776027694,0.006559654123035736,0.033817556135153644,0.03441369260181406,0.3190226644758352,100.0,300
Education,0.6033994182417663,-0.009131023480361194,0.07410961043610005,0.15886367617233338,0.17506149312792807,0.4386081904757564,-595.1452808808136,300
Public Transportation,0.36402545193730895,3.820234634256973e-05,0.008390852022542979,0.04023170612660799,0.04109738575752348,0.3577775359632881,2.4899668907055994,300
Restaurant,0.30770533467882777,-0.003046064742361532,0.0067356575575209425,0.0318888040727551,0.032449751886695424,0.30631231347211607,-198.62208192150558,310
Store,0.3165050272067245,0.0015335982348454694,0.0065182724658993585,0.0335623902136088,0.034155087311326326,0.31691730943976837,100.0,310
Education,0.6037967367224709,-0.00928559843100982,0.07465873201012486,0.15997754260205832,0.17629667627079942,0.4405977055435079,-605.4779028840933,310
Public Transportation,0.36367067375118317,4.304537871756971e-05,0.00840024984254732,0.04034838267660026,0.04121352119304978,0.3568719817931047,2.806822395821752,310
Restaurant,0.30641238589242636,-0.0029914171885056153,0.006639790622763201,0.031693365615441914,0.032242947550627614,0.30432585763316783,-192.64342897928648,320
Store,0.31564977402465577,0.001552825966790313,0.006470103704588855,0.03325637215379249,0.033844309156733296,0.3148642211949092,100.0,320
Education,0.6045329131203233,-0.009441956016594264,0.07519365084604002,0.16102911035780632,0.177469177540111,0.44255857098226964,-608.0498535267775,320
Public Transportation,0.363225795204696,4.2845094178544575e-05,0.008399449501779052,0.04046153578734571,0.0413241429977864,0.3559941336197574,2.7591690952402903,320
Restaurant,0.30516203228209454,-0.0029373220119341924,0.006552894934532271,0.03150648819844854,0.032046394025228526,0.3023998006914248,-187.2932182472506,330
Store,0.3148995294378849,0.001568301318874535,0.006423756760393113,0.03296391699667038,0.03354735318401866,0.3128620670831221,100.0,330
Education,0.6053963419673509,-0.009584447486139498,0.0756910881227804,0.16201015084614537,0.178562504924149,0.4444534275949767,-611.135587963263,330
Public Transportation,0.3628786747401143,4.209781137344721e-05,0.008397770921040198,0.04056867221114708,0.04142870923878806,0.35514258590882297,2.6842935644317376,330
Restaurant,0.3039632645937111,-0.0028809705964955184,0.00646975427189909,0.031313883942065496,0.03184520460443035,0.3005310486575655,-182.00928623565434,340
Store,0.314227469050203,0.0015828701139816658,0.00637811386372546,0.03268129336500925,0.03326021338883303,0.31090831218854426,100.0,340
Education,0.606850877740282,-0.009762839866805683,0.07627132876533087,0.1629388781335595,0.17964153349597983,0.44624875433064204,-616.7808577955605,340
Public Transportation,0.36259960590462453,4.319446407742916e-05,0.008396613472543593,0.04067515620525414,0.041532753151788504,0.35431441828137505,2.728869772439805,340
